9:12PM INF Starting DU-UE Simulator
9:12PM INFO Connection configured with PPID=62                	 du_id=1 mod=f1ap_client
9:12PM INFO SCTP connection established to CU-CP              	 du_id=1 mod=f1ap_client
9:12PM INFO Sending dynamic F1 Setup Request (DU ID: 1, PCI: 1, TAC: 000001, ARFCN: 0)	 du_id=1 mod=f1ap_client
9:12PM INF DU-UE Simulator is running. Press Ctrl+C to stop.
9:12PM INFO Handling F1AP message, length: 46                 	 du_id=1 mod=f1ap_client
9:12PM INFO Received F1 Setup Response                        	 du_id=1 mod=f1ap_client
9:12PM INFO F1 Setup Response received 0                     	 du_id=1 mod=f1ap_client
9:12PM INFO F1 Setup completed successfully                   	 du_id=1 mod=du
9:12PM INFO DU is ready for UE connections                    	 du_id=1 mod=du
9:12PM INF DU became ACTIVE. Starting Initial Access for configured UEs...
9:12PM INFO Starting Initial Access for 10 UEs                	 du_id=1 mod=du
9:12PM INFO [UE 0000000001] Starting Initial Access (DU_UE_ID: 1, C-RNTI: 100)	 du_id=1 mod=du
9:12PM INFO Initializing RRC connection                       	 mod=ue msin=0000000001
9:12PM INFO [UE 1] Started listening for RRC messages        	 du_id=1 mod=du
9:12PM INFO Sending RRCSetupRequest to DU (UE identity: c2783d10a2)   	 mod=ue msin=0000000001
9:12PM INFO Waiting for RRCSetup from DU...                   	 mod=ue msin=0000000001
9:12PM INFO Sending Initial UL RRC Message Transfer (DU-UE-ID=1, C-RNTI=100)	 du_id=1 mod=du
9:12PM INFO Successfully sent Initial UL RRC Message Transfer to CU-CP	 du_id=1 mod=du
9:12PM INFO Handling F1AP message, length: 46                 	 du_id=1 mod=f1ap_client
9:12PM INFO Received DL RRC Message Transfer                  	 du_id=1 mod=f1ap_client
9:12PM INFO DL RRC Message Transfer: CU-UE-ID=1, DU-UE-ID=1, SRB-ID=0	 du_id=1 mod=du
9:12PM INFO [UE 1] Updated CU_UE_ID to 1 from DLRRCMessageTransfer	 du_id=1 mod=du
9:12PM INFO [UE 1] Forwarding RRC message to UE, length: 6  	 du_id=1 mod=du
9:12PM INFO Handling RRCSetup message, length: 6 bytes       	 mod=ue msin=0000000001
9:12PM INFO Received RRCSetup from DU (transaction ID: 0)    	 mod=ue msin=0000000001
9:12PM INFO Initiating Registration                           	 mod=ue msin=0000000001
9:12PM INFO Created NAS Registration Request, length: 26 bytes	 mod=ue msin=0000000001
9:12PM INFO Initial registration - no S-TMSI included         	 mod=ue msin=0000000001
9:12PM INFO Sending RRCSetupComplete to DU (with NAS Registration Request embedded)	 mod=ue msin=0000000001
9:12PM INFO ==== RRC connection Initialized ====              	 mod=ue msin=0000000001
9:12PM INFO Sending UL RRC Message Transfer (CU-UE-ID=1, DU-UE-ID=1, SRB=1)	 du_id=1 mod=du
9:12PM INFO [UE 0000000001] RRC Connection Established successfully   	 du_id=1 mod=du
9:12PM INFO [UE 0000000001] Applying scenario: basic_registration                     	 du_id=1 mod=du
9:12PM INFO Started RRC receiver for DU: du-1                   	 mod=ue msin=0000000001
9:12PM INFO Handling F1AP message, length: 85                 	 du_id=1 mod=f1ap_client
9:12PM INFO Received DL RRC Message Transfer                  	 du_id=1 mod=f1ap_client
9:12PM INFO DL RRC Message Transfer: CU-UE-ID=1, DU-UE-ID=1, SRB-ID=0	 du_id=1 mod=du
9:12PM INFO [UE 1] Forwarding RRC message to UE, length: 45  	 du_id=1 mod=du
9:12PM INFO Received RRC message from DU du-1, length: 45       	 mod=ue msin=0000000001
9:12PM INFO Handle RRC message, length: 45 bytes, [10 16 42 126 0 86 0 2 0 0 33 144 138 12 169 224 192 145 25 40 60 187 38 153 34 188 13 32 16 239 54 208 135 179 190 128 0 233 209 157 244 243 229 90 94]          	 mod=ue msin=0000000001
9:12PM INFO Received DLInformationTransfer                    	 mod=ue msin=0000000001
9:12PM INFO Extracted NAS message from DLInformationTransfer, length: 42	 mod=ue msin=0000000001
9:12PM INFO Receive Authentication Request                    	 mod=ue msin=0000000001
9:12PM INFO Authenticity of the authentication request message: OK	 mod=ue msin=0000000001
9:12PM INFO SQN of the authentication request message: VALID  	 mod=ue msin=0000000001
9:12PM INFO Send authentication response                      	 mod=ue msin=0000000001
9:12PM INFO [UE 1] Parsing UlInformationTransfer to detect PDU session requests...	 du_id=1 mod=du
9:12PM INFO [UE 1] Parsing NAS bytes: len=21, header=[7e 0 57]	 du_id=1 mod=du
9:12PM INFO [UE 1] Decoded NAS is not UlNasTransport (msg.Gmm=true)	 du_id=1 mod=du
9:12PM INFO Sending UL RRC Message Transfer (CU-UE-ID=1, DU-UE-ID=1, SRB=2)	 du_id=1 mod=du
9:12PM INFO Handling F1AP message, length: 62                 	 du_id=1 mod=f1ap_client
9:12PM INFO Received DL RRC Message Transfer                  	 du_id=1 mod=f1ap_client
9:12PM INFO DL RRC Message Transfer: CU-UE-ID=1, DU-UE-ID=1, SRB-ID=0	 du_id=1 mod=du
9:12PM INFO [UE 1] Forwarding RRC message to UE, length: 22  	 du_id=1 mod=du
9:12PM INFO Received RRC message from DU du-1, length: 22       	 mod=ue msin=0000000001
9:12PM INFO Handle RRC message, length: 22 bytes, [10 16 19 126 3 0 0 0 0 0 126 0 93 0 0 2 240 240 225 54 1 2]          	 mod=ue msin=0000000001
9:12PM INFO Received DLInformationTransfer                    	 mod=ue msin=0000000001
9:12PM INFO Extracted NAS message from DLInformationTransfer, length: 19	 mod=ue msin=0000000001
9:12PM INFO Receive Security Mode Command                     	 mod=ue msin=0000000001
9:12PM INFO Type of ciphering algorithm is 5G-0               	 mod=ue msin=0000000001
9:12PM INFO Type of integrity algorithm is 5G-IA0             	 mod=ue msin=0000000001
9:12PM INFO Have Additional Secutity Information, retransmission = true	 mod=ue msin=0000000001
9:12PM INFO [UE 1] Parsing UlInformationTransfer to detect PDU session requests...	 du_id=1 mod=du
9:12PM INFO [UE 1] Parsing NAS bytes: len=51, header=[7e 4 0]	 du_id=1 mod=du
9:12PM INFO [UE 1] Regular NAS Decode failed: decode NasMm <<= decode protected nas <<= No security context to decrypt             	 du_id=1 mod=du
9:12PM INFO [UE 1] Stripping 7-byte security header and trying to decode plaintext...	 du_id=1 mod=du
9:12PM INFO [UE 1] Decoded NAS is not UlNasTransport (msg.Gmm=true)	 du_id=1 mod=du
9:12PM INFO Sending UL RRC Message Transfer (CU-UE-ID=1, DU-UE-ID=1, SRB=2)	 du_id=1 mod=du
9:12PM INFO Handling F1AP message, length: 94                 	 du_id=1 mod=f1ap_client
9:12PM INFO Received DL RRC Message Transfer                  	 du_id=1 mod=f1ap_client
9:12PM INFO DL RRC Message Transfer: CU-UE-ID=1, DU-UE-ID=1, SRB-ID=0	 du_id=1 mod=du
9:12PM INFO [UE 1] Forwarding RRC message to UE, length: 54  	 du_id=1 mod=du
9:12PM INFO Received RRC message from DU du-1, length: 54       	 mod=ue msin=0000000001
9:12PM INFO Handle RRC message, length: 54 bytes, [10 16 51 126 2 0 0 0 0 1 126 0 66 1 1 119 0 11 242 2 248 57 202 254 0 0 0 0 1 84 7 0 2 248 57 0 0 1 21 5 4 1 1 2 3 33 1 0 94 1 6 22 1 44]          	 mod=ue msin=0000000001
9:12PM INFO Received DLInformationTransfer                    	 mod=ue msin=0000000001
9:12PM INFO Extracted NAS message from DLInformationTransfer, length: 51	 mod=ue msin=0000000001
9:12PM INFO Receive Registration Accept                       	 mod=ue msin=0000000001
9:12PM INFO Handle Registration Accept                        	 mod=ue msin=0000000001
9:12PM INFO UE 5G GUTI: 20893cafe0000000001                                    	 mod=ue msin=0000000001
9:12PM INFO Registration Complete sent                        	 mod=ue msin=0000000001
9:12PM INFO [UE 1] Parsing UlInformationTransfer to detect PDU session requests...	 du_id=1 mod=du
9:12PM INFO [UE 1] Parsing NAS bytes: len=10, header=[7e 2 0]	 du_id=1 mod=du
9:12PM INFO [UE 1] Regular NAS Decode failed: decode NasMm <<= decode protected nas <<= No security context to decrypt             	 du_id=1 mod=du
9:12PM INFO [UE 1] Stripping 7-byte security header and trying to decode plaintext...	 du_id=1 mod=du
9:12PM INFO [UE 1] Decoded NAS is not UlNasTransport (msg.Gmm=true)	 du_id=1 mod=du
9:12PM INFO Sending UL RRC Message Transfer (CU-UE-ID=1, DU-UE-ID=1, SRB=2)	 du_id=1 mod=du
9:12PM INFO Handling F1AP message, length: 84                 	 du_id=1 mod=f1ap_client
9:12PM INFO Received DL RRC Message Transfer                  	 du_id=1 mod=f1ap_client
9:12PM INFO DL RRC Message Transfer: CU-UE-ID=1, DU-UE-ID=1, SRB-ID=0	 du_id=1 mod=du
9:12PM INFO [UE 1] Forwarding RRC message to UE, length: 44  	 du_id=1 mod=du
9:12PM INFO Received RRC message from DU du-1, length: 44       	 mod=ue msin=0000000001
9:12PM INFO Handle RRC message, length: 44 bytes, [10 16 41 126 2 0 0 0 0 2 126 0 84 208 67 8 135 102 121 185 92 59 14 1 69 5 132 102 121 185 12 70 130 71 98 48 33 18 33 65 130 73 1 0]          	 mod=ue msin=0000000001
9:12PM INFO Received DLInformationTransfer                    	 mod=ue msin=0000000001
9:12PM INFO Extracted NAS message from DLInformationTransfer, length: 41	 mod=ue msin=0000000001
9:12PM INFO Receive Configuration Update Command              	 mod=ue msin=0000000001
9:12PM INFO Configuration Update Complete sent                	 mod=ue msin=0000000001
9:12PM INFO [UE 1] Parsing UlInformationTransfer to detect PDU session requests...	 du_id=1 mod=du
9:12PM INFO [UE 1] Parsing NAS bytes: len=10, header=[7e 2 0]	 du_id=1 mod=du
9:12PM INFO [UE 1] Regular NAS Decode failed: decode NasMm <<= decode protected nas <<= No security context to decrypt             	 du_id=1 mod=du
9:12PM INFO [UE 1] Stripping 7-byte security header and trying to decode plaintext...	 du_id=1 mod=du
9:12PM INFO [UE 1] Decoded NAS is not UlNasTransport (msg.Gmm=true)	 du_id=1 mod=du
9:12PM INFO Sending UL RRC Message Transfer (CU-UE-ID=1, DU-UE-ID=1, SRB=2)	 du_id=1 mod=du
9:12PM INFO Auto-triggering default PDU Session establishment 	 mod=ue msin=0000000001
9:12PM INFO Initiating New PDU Session                        	 mod=ue msin=0000000001
9:12PM INFO Created PDU Session with ID: 1                   	 mod=ue msin=0000000001
9:12PM INFO PDU Session Initiating                            	 mod=pdu_session msin=0000000001 pduId=1
9:12PM INFO PDU Session state changed to: ACTIVE_PENDING                  	 mod=pdu_session msin=0000000001 pduId=1
9:12PM INFO Sending N1 SM message (session 1) via UL NAS Transport	 mod=ue msin=0000000001
9:12PM INFO [UE 1] Parsing UlInformationTransfer to detect PDU session requests...	 du_id=1 mod=du
9:12PM INFO [UE 1] Parsing NAS bytes: len=23, header=[7e 2 0]	 du_id=1 mod=du
9:12PM INFO [UE 1] Regular NAS Decode failed: decode NasMm <<= decode protected nas <<= No security context to decrypt             	 du_id=1 mod=du
9:12PM INFO [UE 1] Stripping 7-byte security header and trying to decode plaintext...	 du_id=1 mod=du
9:12PM INFO [UE 1] Found UlNasTransport: PayloadContainerType=1, PduSessionId=0xc0001c12c9	 du_id=1 mod=du
9:12PM INFO [UE 1] Found N1SMInfo! PduSessionId: 1          	 du_id=1 mod=du
9:12PM INFO [UE 1] Dump of PayloadContainer: 2e0101c1ffff91              	 du_id=1 mod=du
9:12PM INFO [UE 1] SM Parse - EPD: 0x2E, PduId: 0x1, PTI: 0x1, MsgType: 0xC1	 du_id=1 mod=du
9:12PM INFO [UE 1] Match! Calling mockPduSessionAccept for session 1	 du_id=1 mod=du
9:12PM INFO [UE 1] Scheduling mock PDU Session Establishment Accept for session 1	 du_id=1 mod=du
9:12PM INFO Sending UL RRC Message Transfer (CU-UE-ID=1, DU-UE-ID=1, SRB=2)	 du_id=1 mod=du
9:12PM INFO [UE 1] Injecting mock PDU Session Establishment Accept via DLInformationTransfer	 du_id=1 mod=du
9:12PM INFO [UE 1] Mock PDU Session Accept injected successfully	 du_id=1 mod=du
9:12PM INFO Received RRC message from DU du-1, length: 45       	 mod=ue msin=0000000001
9:12PM INFO Handle RRC message, length: 45 bytes, [10 16 42 126 2 0 0 0 0 0 126 0 104 1 0 27 46 1 1 194 17 0 13 0 1 1 1 0 7 6 1 4 5 6 7 8 6 6 0 100 6 0 100 18 1]          	 mod=ue msin=0000000001
9:12PM INFO Received DLInformationTransfer                    	 mod=ue msin=0000000001
9:12PM INFO Extracted NAS message from DLInformationTransfer, length: 42	 mod=ue msin=0000000001
9:12PM INFO Receive DL NAS Transport                          	 mod=ue msin=0000000001
9:12PM INFO Receive PDU Session Establishment Accept          	 mod=ue msin=0000000001
9:12PM INFO Receiving PDU Session Establishment Accept        	 mod=ue msin=0000000001
9:12PM INFO   QoS Rules: [0 1 1 1 0 7 6 1 4 5 6 7 8]                                   	 mod=ue msin=0000000001
9:12PM INFO PDU Session state changed to: ACTIVE                  	 mod=pdu_session msin=0000000001 pduId=1
9:12PM INFO PDU Session established successfully              	 mod=pdu_session msin=0000000001 pduId=1
9:12PM INFO [UE 0000000002] Starting Initial Access (DU_UE_ID: 2, C-RNTI: 101)	 du_id=1 mod=du
9:12PM INFO Initializing RRC connection                       	 mod=ue msin=0000000002
9:12PM INFO Sending RRCSetupRequest to DU (UE identity: aaf4d5fd96)   	 mod=ue msin=0000000002
9:12PM INFO Waiting for RRCSetup from DU...                   	 mod=ue msin=0000000002
9:12PM INFO [UE 2] Started listening for RRC messages        	 du_id=1 mod=du
9:12PM INFO [UE 2] Intercepted RRCReconfigurationComplete    	 du_id=1 mod=du
9:12PM INFO Sending Initial UL RRC Message Transfer (DU-UE-ID=2, C-RNTI=101)	 du_id=1 mod=du
9:12PM INFO Successfully sent Initial UL RRC Message Transfer to CU-CP	 du_id=1 mod=du
9:12PM INFO Handling F1AP message, length: 46                 	 du_id=1 mod=f1ap_client
9:12PM INFO Received DL RRC Message Transfer                  	 du_id=1 mod=f1ap_client
9:12PM INFO DL RRC Message Transfer: CU-UE-ID=2, DU-UE-ID=2, SRB-ID=0	 du_id=1 mod=du
9:12PM INFO [UE 2] Updated CU_UE_ID to 2 from DLRRCMessageTransfer	 du_id=1 mod=du
9:12PM INFO [UE 2] Forwarding RRC message to UE, length: 6  	 du_id=1 mod=du
9:12PM INFO Handling RRCSetup message, length: 6 bytes       	 mod=ue msin=0000000002
9:12PM INFO Received RRCSetup from DU (transaction ID: 0)    	 mod=ue msin=0000000002
